week_ending_date,nombre_de_demandes_par_semaine-week_to_date_application_count,nombre_total_de_demandes_uniques-total_unique_applicant_count,nombre_total_de_demandes_re�ues-total_application_received_count,nombre_total_de_demandes_trait�es-total_application_processed_count,total_paid
2020-04-19,2890000,6279000,8675000,8382000,19804000000
2020-04-26,1341000,6682000,9990000,9840000,24250000000
2020-05-05,820000,7199000,11020000,10840000,28570000000
2020-05-10,608000,7332000,11375000,11290000,30482000000
2020-05-19,2827000,7592000,14350000,14310000,38410000000
2020-05-24,627000,7677000,14742000,14715000,40330000000
2020-06-01,458000,7811000,15183000,15173000,42589000000
2020-06-07,374000,7886000,15542000,15546000,44639000000
2020-06-14,2255000,7982000,17784000,17806000,50240000000
2020-06-21,534000,8054000,18309000,18348000,52144000000
2020-06-28,371000,8156000,18671000,18711000,53528000000
2020-07-05,319000,8248000,18982000,19017000,54787000000
2020-07-12,1899000,8341000,20879000,20915000,59412000000
2020-07-19,482000,8400000,21360000,21400000,61260000000
2020-07-26,302000,8460000,21660000,21700000,62750000000
2020-08-02,274000,8510000,21940000,21980000,64260000000
2020-08-09,1779000,8580000,23720000,23760000,68460000000
2020-08-16,447000,8620000,24160000,24200000,70030000000
2020-08-23,268000,8660000,24430000,24470000,71250000000
2020-08-30,248000,8700000,24680000,24720000,72550000000
2020-09-06,1531000,8750000,26210000,26250000,76430000000
2020-09-13,428000,8790000,26640000,26680000,77990000000
2020-09-20,288000,8830000,26930000,26970000,79300000000
2020-09-27,296000,8860000,27220000,27250000,80620000000
2020-10-04,350000,8900000,27570000,27560000,81640000000
